Time,data
3.730709552,0
11.04714918,1
13.04068613,2
14.988375185,3
39.248101231,4
39.401838299,5
39.51158714,6
39.640466687,7
39.744669911,8
197.736150499,9
197.854882951,10
198.009740587,11
