Time,data
10.029386997,1
12.197103976,1
14.137235163,1
16.013112781,1
18.00825238,1
20.001666305,1
22.103030202,1
24.061300274,1
26.045128819,1
28.100630757,1
30.1870985,1
32.23954868,1
34.003526684,1
36.073753354,1
38.050758359,1
177.536977049,4
