Time,data
2.0149827,0.0
315.869714021,0.0
451.770182847,163.27194213867188
589.08697009,227.87193298339844
726.070288419,292.471923828125
863.123306035,357.0719299316406
1405.74088931,421.67193603515625
1543.042157888,680.998291015625
1680.010126829,745.5983276367188
1816.73013091,810.1983032226562
1953.290621042,874.79833984375
2497.312222719,939.3983154296875
2634.310382604,1198.7247314453125
2771.703597307,1263.32470703125
2909.061046838,1327.9246826171875
3046.540571451,1392.524658203125
3589.305876493,1457.1246337890625
3726.348444223,1716.4510498046875
3863.195255994,1781.051025390625
3999.926995038,1845.651123046875
4136.878048181,1910.2510986328125
4681.951950788,1974.85107421875
4819.027825593,2234.177490234375
4955.917528867,2298.77734375
5092.919346094,2363.37744140625
5230.593236684,2427.9775390625
5773.160513639,2492.577392578125
5910.546487569,2751.90380859375
6047.312186956,2816.50390625
6184.317041635,2881.103759765625
6321.66647315,2945.703857421875
6865.488494634,3010.3037109375
7002.286874055,3269.630126953125
7139.510387182,3334.230224609375
