Time,data
3.015210628,3.0152106285095215
352.387605905,3.0152106285095215
488.651944398,3.0152106285095215
625.468567609,3.0152106285095215
762.894009351,3.0152106285095215
900.445014238,3.0152106285095215
1442.417286634,3.0152106285095215
1579.994291067,3.0152106285095215
1717.172299623,3.0152106285095215
1854.180105924,3.0152106285095215
1991.135190725,3.0152106285095215
2535.373808145,3.0152106285095215
2672.907699346,3.0152106285095215
2810.215204954,3.0152106285095215
2947.367025613,3.0152106285095215
3084.377259015,3.0152106285095215
3627.288833856,3.0152106285095215
3764.123386144,3.0152106285095215
3901.199256181,3.0152106285095215
4038.124827146,3.0152106285095215
4175.576685666,3.0152106285095215
4721.275750398,3.0152106285095215
4858.707433938,3.0152106285095215
4995.592170953,3.0152106285095215
5132.955235242,3.0152106285095215
5270.222207307,3.0152106285095215
5813.518084287,3.0152106285095215
5950.87566018,3.0152106285095215
6088.259910345,3.0152106285095215
6225.463148355,3.0152106285095215
6362.644373178,3.0152106285095215
6906.652408838,3.0152106285095215
7043.616200685,3.0152106285095215
7181.190792322,3.0152106285095215
