Time,data
315.794218778,-1.0
352.278555631,-1.0
495.489763021,16.50874762449698
538.054937124,16.433248955771926
635.574623346,16.929725652382583
684.102708101,15.522736859941938
769.699577093,14.327745942445423
808.110655546,14.219252905771324
904.641448259,20.73258105060303
947.500566244,24.1745698505935
1448.014713525,19.897493192826662
1490.349968671,22.318782587711098
1582.712348699,23.673606510664925
1624.547640085,21.0163401546823
1723.885561227,20.846689968030123
1768.215650319,29.743423690741373
1858.615409135,23.12987368971306
1900.333842039,22.63877050268239
1994.025524854,25.366426642536933
2036.956604719,22.991837827281504
2541.408356428,18.845089718419167
2585.313459634,17.502241552720662
2677.452679872,15.660694823896119
2717.320171594,15.225674355779937
2812.711752653,14.691729166319158
2854.145549535,13.803125743417773
2948.592344522,14.818706060813039
2989.997762441,14.624113658327103
3088.426254987,15.068601892867251
3131.552203893,15.329812390506925
3631.004377603,15.499945296899496
3671.572304963,15.302432996946328
3767.503088712,15.364968798362453
3809.943438768,14.741560064431084
3904.976559877,13.269880331394253
3947.978047132,12.247728807712058
4040.812641382,10.899531647475547
4081.633001565,10.552396794189432
4179.232429265,10.447417227055503
4219.894326925,10.4742241739908
4724.780844449,9.31247937263178
4765.980201959,9.538804684372685
4859.139775037,7.845921679098931
4901.524640321,6.655552706652146
4997.691017389,5.704302694409026
5039.763659238,4.957611310572295
5133.20721507,5.256648627093352
5173.668254613,4.821586577160747
5272.310117483,5.158876473230563
5312.78230071,5.4333872210636605
5814.697421789,5.819903049951221
5858.272758722,6.963688778166762
5954.925044774,6.536381938485405
5996.816750764,5.890980482299782
6093.652077913,4.4339242232406635
6135.839084386,3.461453200177338
6225.078605413,2.1309139676947177
6265.232907533,1.8919844536876405
6363.326996564,1.9681757435649316
6405.662885904,2.1758188155903837
6916.322656869,2.0012205202963327
6961.718147993,2.2746920062853366
7045.746024846,1.6145768635923312
7093.81925702,1.3024345817632392
7185.77211976,1.6532068658231898
