Time,data
315.804883241,-1.0
352.299801111,-1.0
495.743638276,787.0128530441344
538.054937124,893.9578945544222
635.687102079,349.03430334751954
684.134842157,346.8137149778004
770.06139636,460.41358593475087
808.129724264,456.6508664922293
904.724811315,893.8204176370027
947.528842687,838.4104659109149
1448.108850717,797.2138797714181
1490.391141176,669.6933184447698
1582.837349176,608.3024903107392
1624.579907655,719.8179746852596
1723.912233114,654.7311781009832
1768.26311469,554.4997845636024
1858.964112996,500.0555166844424
1900.365790128,503.1501940013891
1994.118646383,564.4133638885053
2037.015246152,568.7170098613133
2541.45846486,443.34421343533654
2585.327032804,431.47092789515114
2677.515226602,366.34251498561144
2717.364791631,344.10817748653363
2812.906037568,309.69220891930684
2854.168678522,319.4611945232711
2948.662697076,262.8174434779776
2990.032633542,266.42352291104726
3088.45513463,280.5540022958189
3131.581534147,266.18057848670816
3631.04229331,222.43875197748312
3671.572304963,230.87442090921243
3767.671304941,192.39244451316273
3809.998377561,172.71977820894702
3905.034621953,154.16549130353886
3948.007649183,149.76673078311038
4040.905317068,125.09277119582919
4081.65471673,124.06043802307067
4179.298816919,125.26652413362206
4219.924231767,121.57937370990264
4724.841903448,94.77121242153768
4766.010764837,103.65190754388897
4859.240447282,69.31363069160992
4901.524640321,54.545891118058
4997.748752832,43.83141728727212
5039.775272607,39.559132881713786
5133.269058465,33.335552156970756
5173.679488897,32.27335712794287
5272.310117483,31.524051056580063
5312.817236184,34.12947934744657
5814.748221635,27.370867122664563
5858.297821283,38.483847168551584
5954.992994069,25.156445088067194
5996.894813775,20.185270619109126
6093.709732294,14.579003671462017
6135.850406885,11.863685523062124
6225.268825292,10.340842187675536
6265.243250131,9.462981232386223
6363.389037847,10.304916756006355
6405.69832921,11.968144123372928
6916.418830156,9.445249642492605
6961.740294694,11.150236835072198
7045.772546529,6.797536726167531
7093.81925702,5.455628910311571
7185.850735902,3.513498975561433
