Time,data
2.004846811,0.0
315.691884756,310.64215087890625
451.615225076,223.18704223632812
588.931053876,194.51808166503906
725.922604799,180.11892700195312
862.954541444,171.50384521484375
1405.585759878,233.33590698242188
1542.889832258,219.60797119140625
1679.818235635,209.27224731445312
1816.546245813,201.20367431640625
1953.12657237,194.7340850830078
2497.171999216,226.48892211914062
2634.151569604,219.02288818359375
2771.53189063,212.73672485351562
2908.902622461,207.3525390625
3046.355911493,202.68577575683594
3589.156714677,223.93850708007812
3726.192411184,218.82669067382812
3863.031383752,214.26576232910156
3999.757028818,210.18353271484375
4136.735368966,206.5157012939453
4681.793383359,222.63668823242188
4818.870948553,218.7454071044922
4955.762797593,215.18002319335938
5092.770158052,211.91920471191406
5230.232516527,208.943359375
5773.008977174,221.77923583984375
5910.392464399,218.64869689941406
6047.143331766,215.72372436523438
6184.164665937,213.00791931152344
6321.512914895,210.48300170898438
6865.340298414,221.23582458496094
7002.119008302,218.59202575683594
7139.34982419,216.12660217285156
